Gene name (systematic),Gene name (standard),ref,Class,M (Beyer)1,L (in codon),alpha_phys,J_phys,rho_phys,Jmax,rho_max
YCR010C,ADY2,616,hybrid,"0,2",284,"0,10679","0,09212","0,01360","0,31469","0,06812"
YCR011C,ADP1,617,abrupt,"1,53",1050,"0,05928","0,05283","0,00922","0,23728","0,09719"
YCR012W,PGK1,618,smooth,"228,46",417,"0,13552","0,11996","0,01099","0,74230","0,08537"
YCR013C,,619,hybrid,"0,65",216,"0,19572","0,15301","0,02989","0,29911","0,08406"
YCR014C,POL4,620,hybrid,"0,25",583,"0,04378","0,04147","0,00706","0,25686","0,06537"
YCR015C,,621,smooth,"0,18",318,"0,08815","0,08103","0,01351","0,29200","0,06488"
YCR016W,,622,abrupt,"1,14",291,"0,12201","0,10545","0,01867","0,25718","0,08430"
YCR017C,CWH43,623,abrupt,"1,95",954,#N/A,#N/A,#N/A,"0,24897","0,08536"
YCR018C-A,,624,smooth,"0,09",85,#N/A,#N/A,#N/A,"0,26531","0,06912"
YCR018C,SRD1,625,abrupt,"0,88",222,#N/A,#N/A,#N/A,"0,24382","0,09752"
YCR019W,MAK32,626,abrupt,"0,35",364,"0,07662","0,06980","0,01290","0,24816","0,10137"
YCR020C,PET18,627,smooth,"0,3",216,"0,09109","0,07962","0,01223","0,34753","0,06436"
YCR020C-A,MAK31,628,hybrid,"1,03",89,#N/A,#N/A,#N/A,"0,30999","0,09061"
YCR021C,HSP30,630,smooth,"0,38",333,"0,10161","0,08529","0,01299","0,34258","0,07162"
YCR022C,,631,smooth,"0,11",115,"0,24089","0,16483","0,03733","0,25789","0,07066"
YCR023C,,632,abrupt,"1,36",612,"0,02866","0,02713","0,00479","0,24678","0,09994"
YCR024C,SLM5,633,abrupt,"0,18",493,"0,06314","0,05620","0,00976","0,25248","0,07458"
YCR024C-A,PMP1,634,smooth,"14,07",41,#N/A,#N/A,#N/A,"0,75029","0,08693"
YCR025C,,635,hybrid,"0,08",137,"0,28195","0,17927","0,03681","0,29746","0,08244"
YCR026C,NPP1,636,smooth,"0,78",743,"0,10325","0,07753","0,01429","0,25579","0,05676"
YCR027C,RHB1,637,hybrid,"0,27",210,"0,05592","0,05169","0,01103","0,25374","0,08355"
YCR028C,FEN2,638,abrupt,"0,53",513,"0,06894","0,06232","0,01170","0,25299","0,08182"
YCR028C-A,RIM1,639,smooth,"3,59",136,#N/A,#N/A,#N/A,"0,50331","0,07584"
YCR030C,SYP1,640,abrupt,"3,88",871,"0,09722","0,08492","0,01484","0,26236","0,07921"
YCR031C,RPS14A,641,smooth,"62,82",138,"0,19268","0,16595","0,01534","0,77172","0,08443"
YCR032W,BPH1,642,abrupt,"0,27",2168,"0,01845","0,01808","0,00332","0,22148","0,07038"
YCR033W,SNT1,643,abrupt,"0,82",1227,"0,01852","0,01805","0,00321","0,21497","0,06623"
YCR034W,FEN1,644,hybrid,"4,58",348,"0,15693","0,12453","0,02029","0,21894","0,05678"
YCR035C,RRP43,645,hybrid,"2,76",395,"0,10391","0,08863","0,01451","0,34019","0,09141"
YCR036W,RBK1,646,abrupt,"0,85",334,"0,07602","0,06773","0,01212","0,24780","0,08726"
YCR037C,PHO87,647,abrupt,"1,44",924,"0,01425","0,01420","0,00242","0,23702","0,07062"
YCR038C,BUD5,648,hybrid,"0,05",643,"0,04427","0,04130","0,00833","0,21044","0,06584"
YCR039C,MATALPHA2,650,hybrid,"2,98",211,"0,19547","0,13149","0,02426","0,28599","0,07395"
YCR040W,MATALPHA1,651,hybrid,"0,1",176,"0,62905","0,29796","0,06220","0,33187","0,08109"
YCR041W,,652,smooth,"0,11",111,"0,30538","0,18436","0,04596","0,25169","0,07858"
YCR042C,TAF2,653,abrupt,"0,73",1408,"0,03452","0,03305","0,00586","0,24143","0,09621"
YCR043C,,654,smooth,"1,3",128,"0,11373","0,09411","0,01577","0,35489","0,07508"
YCR044C,PER1,655,abrupt,"1,18",358,"0,07865","0,06737","0,01232","0,27551","0,09003"
YCR045C,RRT12,656,abrupt,"0,1",492,"0,02235","0,02140","0,00410","0,26345","0,08211"
YCR046C,IMG1,657,smooth,"1,33",170,"0,06376","0,05545","0,01226","0,22886","0,06356"
YCR047C,BUD23,658,smooth,"2,32",276,"0,09148","0,07805","0,01751","0,22373","0,06461"
YCR048W,ARE1,659,smooth,"1,5",611,"0,05819","0,05282","0,01118","0,21844","0,05494"
YCR049C,,660,smooth,"0,09",149,"0,31843","0,17750","0,03652","0,27778","0,06940"
YCR050C,,661,hybrid,"0,1",103,"0,26870","0,17822","0,04532","0,25353","0,09543"
YCR051W,,662,abrupt,"4,09",223,"0,08699","0,07707","0,01378","0,26056","0,09442"
YCR052W,RSC6,663,abrupt,"0,88",484,"0,07058","0,06117","0,01143","0,26676","0,08768"
YCR053W,THR4,664,smooth,"8,28",515,"0,15276","0,13014","0,01629","0,35086","0,05108"
YCR054C,CTR86,665,hybrid,"0,27",564,"0,05360","0,05012","0,00931","0,23382","0,05882"
YCR057C,PWP2,666,abrupt,"3,88",924,"0,07069","0,06537","0,01129","0,25683","0,09302"
YCR059C,YIH1,667,smooth,"1,57",259,"0,04476","0,04212","0,00779","0,27014","0,06773"
YCR060W,TAH1,668,hybrid,"1,44",112,"0,14716","0,11975","0,02495","0,28566","0,09109"
YCR061W,,669,smooth,"0,33",632,"0,12098","0,10125","0,02150","0,20318","0,05415"
YCR063W,BUD31,670,smooth,"0,07",158,"0,14479","0,12333","0,02366","0,26891","0,07097"
YCR064C,,671,hybrid,"0,08",137,"0,17291","0,13297","0,02713","0,27647","0,08816"
YCR065W,HCM1,672,abrupt,"0,68",565,"0,03676","0,03480","0,00652","0,23234","0,08893"
YCR066W,RAD18,673,abrupt,"0,26",488,"0,05517","0,05136","0,00945","0,26201","0,08188"
YCR067C,SED4,674,hybrid,"1,46",1066,"0,02844","0,02744","0,00486","0,22968","0,05881"
YCR068W,ATG15,675,smooth,"0,15",521,"0,04726","0,04482","0,00848","0,22520","0,05003"
YCR069W,CPR4,676,smooth,"3,88",319,"0,08097","0,07049","0,01232","0,25040","0,05239"
YCR071C,IMG2,677,smooth,"0,79",147,"0,15499","0,11710","0,02384","0,26680","0,06215"
YCR072C,RSA4,678,abrupt,"1,68",516,"0,11342","0,09597","0,01682","0,30009","0,08897"
YCR073C,SSK22,679,hybrid,"0,4",1332,"0,01980","0,01899","0,00334","0,26023","0,06149"
YCR073W-A,SOL2,680,abrupt,"2,91",316,#N/A,#N/A,#N/A,"0,23946","0,08639"
YCR075C,ERS1,681,smooth,"0,59",261,"0,06119","0,05427","0,01049","0,28783","0,06913"
YCR076C,FUB1,682,hybrid,"1,08",251,"0,11950","0,10159","0,01978","0,27361","0,07840"
YCR077C,PAT1,683,hybrid,"2,05",797,"0,07494","0,06793","0,01149","0,24907","0,05738"
YCR079W,PTC6,684,smooth,"1,06",443,"0,02759","0,02593","0,00515","0,25537","0,06600"
YCR081W,SRB8,685,abrupt,"3,88",1428,"0,01183","0,01186","0,00203","0,25532","0,07983"
YCR082W,AHC2,686,smooth,"2,92",129,"0,30306","0,19903","0,03879","0,27327","0,06527"
YCR083W,TRX3,687,hybrid,"1,14",128,"0,19544","0,14004","0,02630","0,30039","0,08715"
YCR084C,TUP1,688,smooth,"1,96",714,"0,07204","0,06040","0,01054","0,19671","0,04383"
YCR085W,,689,abrupt,"0,16",118,"0,16150","0,13526","0,03039","0,23510","0,09659"
YCR086W,CSM1,690,hybrid,"0,4",191,"0,09571","0,08586","0,01983","0,22944","0,09043"
YCR087W,,692,smooth,"0,86",172,"0,07387","0,06617","0,02197","0,14631","0,07689"
YCR088W,ABP1,693,abrupt,"1,01",593,"0,13889","0,11884","0,01820","0,32818","0,08761"
YCR089W,FIG2,694,abrupt,"0,32",1610,"0,03846","0,03602","0,00670","0,23271","0,07395"
YCR090C,,695,abrupt,"1,47",183,"0,09360","0,08381","0,01434","0,30340","0,09308"
YCR091W,KIN82,696,smooth,"0,05",721,"0,09561","0,08013","0,01452","0,24707","0,05724"
YCR092C,MSH3,697,abrupt,"0,25",1019,"0,02643","0,02487","0,00459","0,24852","0,06307"
YCR093W,CDC39,698,abrupt,"0,56",2109,"0,03687","0,03472","0,00591","0,24924","0,05957"
YCR094W,CDC50,699,smooth,"0,31",392,"0,06749","0,06251","0,01085","0,27907","0,06078"
YCR095C,OCA4,700,abrupt,"0,49",363,"0,06334","0,05790","0,01065","0,21321","0,08472"
YCR096C,HMRA2,701,smooth,"2,58",120,"0,24908","0,17094","0,03159","0,29087","0,05991"
YCR097W-A,,702,hybrid,"0,12",89,#N/A,#N/A,#N/A,"0,23922","0,08692"
YCR097W,HMRA1,703,hybrid,"0,34",127,#N/A,#N/A,#N/A,"0,30465","0,08466"
YCR098C,GIT1,704,hybrid,"0,12",519,"0,16400","0,12665","0,01997","0,33744","0,07926"
YCR099C,,705,smooth,"0,04",156,"0,11579","0,09403","0,01733","0,29255","0,07095"
YCR100C,,706,smooth,"0,11",317,"0,05175","0,04712","0,00897","0,22776","0,05682"
YCR101C,,707,smooth,"0,08",183,"0,13135","0,09691","0,02027","0,23129","0,05491"
YCR102C,,708,abrupt,"0,64",369,"0,03809","0,03690","0,00573","0,30863","0,08595"
YCR104W,PAU3,710,smooth,"3,59",125,"0,34134","0,25045","0,02782","0,57534","0,07676"
YCR105W,ADH7,711,abrupt,"0,29",362,"0,05682","0,05035","0,00815","0,29461","0,08416"
YCR106W,RDS1,712,hybrid,"0,14",833,"0,02146","0,02045","0,00404","0,22140","0,06432"
YCR107W,AAD3,713,smooth,"0,2",364,"0,04896","0,04596","0,00783","0,30491","0,07343"
YDL001W,RMD1,714,abrupt,"0,5",431,"0,07435","0,06754","0,01262","0,23312","0,09737"
YDL002C,NHP10,715,smooth,"0,93",204,"0,11342","0,09765","0,02136","0,19563","0,04973"
YDL003W,MCD1,716,abrupt,"1,2",567,"0,08978","0,07496","0,01370","0,24092","0,08336"
YDL004W,ATP16,717,hybrid,"4,72",161,"0,11183","0,09726","0,01386","0,38240","0,08670"
YDL005C,MED2,718,abrupt,"0,99",432,"0,08104","0,06972","0,01212","0,24805","0,06680"
YDL006W,PTC1,719,hybrid,"0,57",282,"0,08039","0,07298","0,01281","0,29649","0,07021"
YDL007W,RPT2,720,abrupt,"3,85",438,"0,12728","0,10653","0,01880","0,30710","0,08070"
YDL008W,APC11,721,abrupt,"1,99",166,"0,11336","0,09772","0,01664","0,29961","0,08127"
YDL009C,,722,smooth,"1,06",108,"0,34281","0,21534","0,04998","0,26506","0,07800"
YDL010W,GRX6,723,hybrid,"0,82",232,"0,10578","0,09141","0,01787","0,25097","0,07427"
YDL011C,,724,hybrid,"0,09",108,"0,21189","0,16271","0,03119","0,31227","0,08141"
YDL012C,,725,smooth,"4,55",108,"0,16436","0,13548","0,03183","0,20959","0,07536"
YDL013W,SLX5,726,hybrid,"0,37",620,"0,04343","0,04147","0,00794","0,24097","0,06428"
YDL014W,NOP1,727,abrupt,"12,99",328,"0,17632","0,14834","0,01582","0,49945","0,09435"
YDL015C,TSC13,728,abrupt,"4,68",311,"0,15846","0,12629","0,01904","0,28998","0,08432"
YDL016C,,729,smooth,"0,08",101,"0,25684","0,18474","0,05318","0,21495","0,08302"
YDL017W,CDC7,730,smooth,"0,32",508,"0,07332","0,06483","0,01137","0,28756","0,06769"
YDL018C,ERP3,731,hybrid,"0,54",226,"0,12888","0,09883","0,01645","0,30693","0,08271"
YDL019C,OSH2,732,smooth,"0,82",1284,"0,05366","0,05009","0,00878","0,22237","0,04744"
YDL020C,RPN4,733,abrupt,"0,72",532,"0,04429","0,03941","0,00733","0,24639","0,09618"
YDL021W,GPM2,734,hybrid,"0,12",312,"0,08768","0,07929","0,01367","0,29137","0,07271"
YDL022W,GPD1,735,smooth,"5,94",392,"0,21603","0,18182","0,02190","0,47358","0,07064"
YDL023C,,736,hybrid,"0,15",107,"1,64990","0,29730","0,08048","0,29734","0,08176"
YDL024C,DIA3,737,hybrid,"0,16",469,"0,05214","0,04859","0,00881","0,25577","0,07063"
YDL025C,RTK1,738,hybrid,"0,24",621,"0,05078","0,04816","0,00813","0,26970","0,06499"
YDL026W,,739,hybrid,"0,08",104,"0,24838","0,18040","0,04039","0,28049","0,08516"
YDL027C,,740,smooth,"0,14",421,"0,03401","0,03214","0,00587","0,23228","0,04851"
YDL028C,MPS1,741,hybrid,"0,25",765,"0,03610","0,03408","0,00640","0,24616","0,06519"
YDL029W,ARP2,742,hybrid,"4,31",392,"0,12689","0,10207","0,01681","0,29704","0,07608"
YDL030W,PRP9,743,hybrid,"0,27",531,"0,07018","0,05772","0,01069","0,25950","0,07593"
YDL031W,DBP10,744,abrupt,"2,08",996,"0,08343","0,07000","0,01086","0,28921","0,07951"
YDL032W,,745,smooth,"0,09",104,"0,27647","0,17542","0,04142","0,23749","0,06602"
YDL033C,SLM3,746,hybrid,"0,54",418,"0,07397","0,06604","0,01210","0,29390","0,08685"
YDL034W,,747,smooth,"0,08",115,"0,26911","0,18717","0,03973","0,28379","0,07223"
YDL035C,GPR1,748,abrupt,"0,49",962,"0,07117","0,06255","0,01116","0,22075","0,09576"
YDL036C,PUS9,749,abrupt,"0,68",463,"0,05983","0,05490","0,00994","0,24110","0,07862"
YDL037C,BSC1,750,smooth,"0,58",329,#N/A,#N/A,#N/A,"0,34038","0,06591"
YDL038C,,751,#NV,"2,22",584,#N/A,#N/A,#N/A,"0,25678","0,09279"
YDL039C,PRM7,752,abrupt,"3,46",116,"0,33623","0,20566","0,03606","0,32393","0,10118"
YDL040C,NAT1,753,abrupt,"1,85",855,"0,08992","0,07628","0,01251","0,27066","0,07599"
YDL041W,,754,abrupt,"0,32",118,"0,30419","0,21643","0,04806","0,27165","0,10272"
YDL042C,SIR2,755,abrupt,"1,19",563,"0,06860","0,06355","0,01095","0,26574","0,07903"
YDL043C,PRP11,756,hybrid,"0,38",267,"0,12597","0,10803","0,01866","0,31865","0,07989"
YDL044C,MTF2,757,abrupt,"0,37",441,"0,07939","0,07107","0,01256","0,27325","0,09344"
YDL045C,FAD1,758,smooth,"0,58",307,"0,10161","0,08697","0,01519","0,30138","0,06612"
YDL045W-A,MRP10,759,smooth,"1,31",96,#N/A,#N/A,#N/A,"0,27669","0,06613"
YDL046W,NPC2,760,smooth,"3,74",174,"0,10686","0,09408","0,01511","0,30184","0,05898"
YDL047W,SIT4,761,smooth,"1,08",312,"0,10458","0,08946","0,01700","0,27106","0,06383"
YDL048C,STP4,762,smooth,"1,11",491,#N/A,#N/A,#N/A,"0,27554","0,06076"
YDL049C,KNH1,763,smooth,"0,09",269,"0,11054","0,09285","0,01656","0,29532","0,06857"
YDL050C,,764,smooth,"0,53",124,"0,26829","0,17540","0,03128","0,32778","0,07717"
YDL051W,LHP1,765,abrupt,"4,7",276,"0,11820","0,10192","0,01525","0,31835","0,09286"
YDL052C,SLC1,766,smooth,"2,19",304,"0,15305","0,11408","0,01958","0,27032","0,05338"
YDL053C,PBP4,767,smooth,"2,2",186,"0,09605","0,08242","0,01547","0,21959","0,05632"
YDL054C,MCH1,768,smooth,"0,46",487,"0,10828","0,08809","0,01751","0,23957","0,05808"
YDL055C,PSA1,769,smooth,"9,91",362,"0,16262","0,14177","0,01533","0,48552","0,06978"
YDL056W,MBP1,770,hybrid,"0,58",834,"0,03734","0,03574","0,00647","0,24388","0,06281"
YDL057W,,771,hybrid,"0,26",329,"0,10326","0,09088","0,01720","0,19890","0,06575"
YDL058W,USO1,772,abrupt,"0,75",1791,"0,01016","0,00984","0,00165","0,27153","0,06623"
YDL059C,RAD59,773,smooth,"0,22",239,"0,05236","0,04554","0,00856","0,21353","0,05201"
YDL060W,TSR1,774,abrupt,"3,14",789,"0,09168","0,07756","0,01252","0,30023","0,08472"
YDL061C,RPS29B,775,smooth,"29,34",57,"0,45802","0,31990","0,03541","0,64533","0,08489"
YDL062W,,776,hybrid,"0,08",142,"0,26710","0,18394","0,04372","0,24055","0,07723"
YDL063C,,777,smooth,"0,9",621,"0,06423","0,06016","0,01135","0,27423","0,06878"
YDL064W,UBC9,778,smooth,"2,92",158,"0,09274","0,07189","0,01277","0,26460","0,07432"
YDL065C,PEX19,779,abrupt,"0,77",343,"0,10612","0,09369","0,01599","0,28253","0,09194"
YDL066W,IDP1,780,hybrid,"2,86",429,"0,17649","0,14271","0,01991","0,36715","0,07007"
YDL067C,COX9,781,smooth,"4,02",60,"0,43455","0,26061","0,04759","0,36641","0,08238"
YDL068W,,782,smooth,"0,1",110,"0,28081","0,16887","0,03532","0,26214","0,06109"
YDL069C,CBS1,783,hybrid,"0,29",230,"0,11744","0,09586","0,01799","0,27646","0,07591"
YDL070W,BDF2,784,abrupt,"0,51",639,"0,06674","0,06246","0,01014","0,26367","0,08890"
YDL071C,,785,hybrid,"0,11",125,"0,23048","0,16407","0,03574","0,25071","0,08237"
YDL072C,YET3,786,smooth,"6,24",204,"0,14543","0,12306","0,02387","0,23046","0,06247"
YDL073W,,787,abrupt,"0,39",985,"0,02557","0,02443","0,00431","0,23648","0,06857"
YDL074C,BRE1,788,abrupt,"1,15",701,"0,04900","0,04462","0,00781","0,25970","0,08663"
YDL075W,RPL31A,789,smooth,"86,19",114,"0,22240","0,18507","0,01771","0,73534","0,09086"
YDL076C,RXT3,790,smooth,"1,02",295,"0,08008","0,06899","0,01343","0,25314","0,06612"
YDL077C,VAM6,791,abrupt,"0,28",1050,"0,06021","0,05503","0,00950","0,24010","0,09993"
YDL078C,MDH3,792,abrupt,"2,93",344,"0,10523","0,08806","0,01496","0,27317","0,08196"
YDL079C,MRK1,793,abrupt,"0,09",502,"0,07983","0,07055","0,01312","0,25607","0,07681"
YDL080C,THI3,794,hybrid,"0,73",610,"0,02997","0,02840","0,00538","0,23801","0,06721"
YDL081C,RPP1A,795,smooth,"61,95",107,"0,25511","0,20862","0,01905","0,80680","0,08571"
YDL082W,RPL13A,796,smooth,"25,89",200,"0,18523","0,15747","0,01572","0,48534","0,06143"
YDL083C,RPS16B,797,smooth,"49,79",144,"0,17709","0,14853","0,01402","0,69595","0,07087"
YDL084W,SUB2,798,abrupt,"5,58",447,"0,11150","0,10020","0,01223","0,36574","0,06211"
YDL085W,NDE2,800,smooth,"0,11",546,"0,27727","0,15095","0,02985","0,26700","0,06922"
YDL086W,,801,abrupt,"1,85",274,"0,10710","0,09411","0,01617","0,29886","0,07706"
YDL087C,LUC7,802,smooth,"0,29",262,"0,10141","0,08333","0,01791","0,25640","0,07084"
YDL088C,ASM4,803,smooth,"0,86",529,"0,07467","0,06640","0,01099","0,25429","0,04736"
YDL089W,NUR1,804,smooth,"0,29",485,"0,03990","0,03817","0,00652","0,26816","0,05775"
YDL090C,RAM1,805,hybrid,"0,53",432,"0,06864","0,05806","0,01064","0,27550","0,08170"
YDL091C,UBX3,806,smooth,"0,26",456,"0,05823","0,05235","0,00956","0,25052","0,05970"
YDL092W,SRP14,807,smooth,"1,58",147,"0,10175","0,09006","0,01512","0,30164","0,06627"
YDL093W,PMT5,808,abrupt,"0,86",744,"0,11808","0,09914","0,01778","0,26866","0,08889"
YDL094C,,809,abrupt,"0,06",170,"0,22503","0,15859","0,03160","0,27341","0,08923"
YDL095W,PMT1,810,hybrid,"4,03",818,"0,13041","0,09918","0,01646","0,24762","0,05382"
YDL096C,OPI6,811,hybrid,"0,15",109,#N/A,#N/A,#N/A,"0,21983","0,08579"
YDL097C,RPN6,812,hybrid,"2,4",435,"0,08455","0,07430","0,01347","0,29430","0,07683"
YDL098C,SNU23,813,abrupt,"0,48",195,"0,09969","0,08657","0,01553","0,25728","0,09272"
YDL099W,BUG1,814,abrupt,"1,2",342,"0,11916","0,10007","0,01624","0,31934","0,08524"
YDL100C,GET3,815,abrupt,"4,95",355,"0,13268","0,11169","0,01579","0,32514","0,06956"
YDL101C,DUN1,816,abrupt,"0,51",514,"0,07226","0,06309","0,01114","0,27231","0,09158"
YDL102W,POL3,817,abrupt,"0,63",1098,"0,09222","0,07509","0,01237","0,28597","0,09177"
YDL103C,QRI1,818,smooth,"1,21",478,"0,12155","0,10057","0,01629","0,25844","0,05205"
YDL104C,QRI7,819,abrupt,"0,22",408,"0,06847","0,06122","0,01111","0,28401","0,08652"
YDL105W,NSE4,820,abrupt,"0,31",403,"0,09440","0,08187","0,01496","0,27484","0,07647"
YDL106C,PHO2,821,hybrid,"0,25",560,"0,08058","0,07150","0,01204","0,30483","0,06933"
YDL107W,MSS2,822,smooth,"0,19",352,"0,07897","0,06726","0,01256","0,26710","0,06227"
YDL108W,KIN28,823,abrupt,"0,56",307,"0,07656","0,06835","0,01235","0,29768","0,08663"
YDL109C,,824,abrupt,"0,48",648,"0,04387","0,04074","0,00762","0,23445","0,08279"
YDL110C,TMA17,825,smooth,"0,81",151,"0,19955","0,15905","0,02942","0,32715","0,07782"
YDL111C,RRP42,826,smooth,"2,22",266,"0,05781","0,04945","0,00931","0,26853","0,06648"
YDL112W,TRM3,827,abrupt,"3,1",1437,"0,04408","0,04092","0,00729","0,23715","0,07777"
YDL113C,ATG20,828,hybrid,"0,16",641,"0,05164","0,04885","0,00837","0,26720","0,07093"
YDL114W-A,,829,smooth,"3,88",38,"0,07065","0,06220","0,01246","0,32765","0,07775"
YDL114W,,830,smooth,"0,06",309,#N/A,#N/A,#N/A,"0,26597","0,05962"
YDL115C,IWR1,831,abrupt,"0,44",354,"0,15420","0,12023","0,02240","0,24187","0,09038"
YDL116W,NUP84,832,hybrid,"1,18",727,"0,08528","0,07707","0,01402","0,24924","0,07076"
YDL117W,CYK3,833,hybrid,"1,1",886,"0,05885","0,05564","0,00947","0,29034","0,07141"
YDL118W,,834,abrupt,"0,08",127,"0,09692","0,08462","0,01666","0,28832","0,09476"
YDL119C,,835,smooth,"0,12",308,"0,06568","0,06098","0,01131","0,29147","0,07126"
YDL120W,YFH1,836,abrupt,"0,22",175,"0,06929","0,06037","0,01154","0,26834","0,09392"
YDL121C,,837,smooth,"1,75",150,"0,18007","0,13020","0,02420","0,27110","0,06852"
YDL122W,UBP1,838,hybrid,"2,99",810,"0,05491","0,05153","0,00851","0,28265","0,06998"
YDL123W,SNA4,839,smooth,"0,8",141,"0,07833","0,06945","0,01432","0,24767","0,06728"
YDL124W,,840,smooth,"4,83",313,"0,14452","0,11599","0,01845","0,33542","0,06995"
YDL125C,HNT1,841,smooth,"8,41",159,"0,18677","0,13574","0,02175","0,31773","0,05883"
YDL126C,CDC48,842,smooth,"8,65",836,"0,12972","0,10406","0,01450","0,33493","0,05895"
YDL127W,PCL2,843,hybrid,"0,43",309,"0,10374","0,09199","0,01727","0,24471","0,07251"
YDL128W,VCX1,844,hybrid,"3,06",412,"0,15230","0,12973","0,02369","0,21196","0,06018"
YDL129W,,845,hybrid,"0,37",292,"0,04678","0,04219","0,00903","0,22815","0,07623"
YDL130W-A,STF1,846,smooth,"2,99",87,"0,12787","0,11110","0,01886","0,37908","0,08279"
YDL130W,RPP1B,847,smooth,"252,34",107,#N/A,#N/A,#N/A,"0,71781","0,08277"
YDL131W,LYS21,848,smooth,"3,27",441,"0,18784","0,14130","0,01945","0,35193","0,05868"
YDL132W,CDC53,849,abrupt,"1,67",816,"0,13214","0,11001","0,01819","0,30824","0,09611"
YDL133W,SRF1,851,abrupt,"0,98",438,"0,03746","0,03589","0,00652","0,24484","0,07782"
YDL134C,PPH21,852,abrupt,"1,22",370,"0,06811","0,06181","0,01154","0,26363","0,08059"
YDL135C,RDI1,853,hybrid,"2,38",203,"0,12369","0,10684","0,01598","0,38197","0,08053"
YDL136W,RPL35B,854,smooth,"68,17",121,"0,21131","0,17312","0,01668","0,67518","0,07557"
YDL137W,ARF2,855,smooth,"8,18",182,"0,13230","0,11425","0,01566","0,32794","0,05204"
YDL138W,RGT2,856,hybrid,"0,45",764,"0,02951","0,02826","0,00515","0,27172","0,07162"
YDL139C,SCM3,857,abrupt,"0,28",224,"0,08986","0,08225","0,01421","0,30862","0,09681"
YDL140C,RPO21,858,abrupt,"5,62",1734,"0,04949","0,04466","0,00724","0,20877","0,10221"
YDL141W,BPL1,859,abrupt,"0,63",691,"0,05899","0,05464","0,01027","0,21874","0,08558"
YDL142C,CRD1,860,smooth,"0,42",284,"0,08136","0,07064","0,01419","0,26164","0,07410"
YDL143W,CCT4,861,abrupt,"2,69",529,"0,10796","0,09800","0,01520","0,32472","0,09009"
YDL144C,,862,hybrid,"1,76",357,"0,04530","0,04207","0,00859","0,24896","0,08010"
YDL145C,COP1,863,abrupt,"2,99",1202,"0,07154","0,06654","0,00986","0,25968","0,09323"
YDL146W,LDB17,864,hybrid,"0,13",492,"0,04440","0,04239","0,00729","0,26740","0,06713"
YDL147W,RPN5,865,hybrid,"3,41",446,"0,09489","0,08700","0,01482","0,29740","0,08282"
YDL148C,NOP14,866,abrupt,"1,31",811,"0,09369","0,07899","0,01216","0,26905","0,07860"
YDL149W,ATG9,867,abrupt,"0,08",998,"0,03241","0,03018","0,00551","0,22650","0,08530"
YDL150W,RPC53,868,abrupt,"0,81",423,"0,07342","0,06490","0,01113","0,25775","0,08613"
YDL151C,BUD30,869,smooth,"0,1",194,"0,10399","0,07423","0,01691","0,21170","0,06038"
YDL152W,,870,hybrid,"0,1",122,"0,53601","0,27119","0,05807","0,30706","0,07672"
YDL153C,SAS10,871,hybrid,"4,92",611,"0,10435","0,09170","0,01392","0,31102","0,06541"
YDL154W,MSH5,872,abrupt,"0,14",902,"0,03766","0,03508","0,00644","0,24583","0,09518"
YDL155W,CLB3,873,smooth,"0,83",428,"0,08902","0,07627","0,01354","0,25883","0,05283"
YDL156W,CMR1,874,abrupt,"0,41",523,"0,07829","0,06949","0,01241","0,27543","0,07844"
YDL157C,,875,smooth,"3,93",119,"0,14805","0,12123","0,01696","0,40168","0,06248"
YDL158C,,876,hybrid,"1,08",103,"0,28655","0,21662","0,04137","0,31504","0,08570"
YDL159W,STE7,877,smooth,"0,31",516,"0,06417","0,05776","0,01060","0,27603","0,06362"
YDL160C,DHH1,879,abrupt,"1,36",507,"0,12059","0,10528","0,01717","0,23101","0,10508"
YDL161W,ENT1,880,abrupt,"1,29",455,"0,08099","0,07196","0,01322","0,29039","0,08159"
YDL162C,,881,abrupt,"0,11",119,"0,24626","0,14946","0,03093","0,23430","0,09645"
YDL163W,,882,smooth,"0,09",101,#N/A,#N/A,#N/A,"0,32383","0,06283"
YDL164C,CDC9,883,abrupt,"0,96",756,"0,08116","0,06840","0,01274","0,24109","0,07397"
YDL165W,CDC36,884,smooth,"2,28",192,"0,14401","0,11737","0,02339","0,25451","0,06390"
YDL166C,FAP7,885,hybrid,"1,92",198,"0,14707","0,11716","0,02066","0,29015","0,06983"
YDL167C,NRP1,886,abrupt,"0,5",720,"0,05639","0,05082","0,00838","0,23524","0,07029"
YDL168W,SFA1,887,abrupt,"2,22",387,"0,14706","0,12508","0,01796","0,35213","0,07498"
YDL169C,UGX2,888,smooth,"0,11",224,"0,13958","0,10303","0,01982","0,28590","0,07660"
YDL170W,UGA3,889,abrupt,"0,27",529,"0,04607","0,04253","0,00787","0,28494","0,07946"
YDL171C,GLT1,890,smooth,"4,24",2146,"0,05256","0,04957","0,00679","0,26999","0,04523"
YDL172C,,891,hybrid,"0,49",160,"0,13408","0,11481","0,02085","0,28751","0,07632"
YDL173W,PAR32,892,smooth,"2,36",296,"0,08911","0,07722","0,01236","0,27798","0,05451"
YDL174C,DLD1,893,hybrid,"2,31",588,"0,10960","0,09176","0,01494","0,30462","0,06780"
YDL175C,AIR2,894,smooth,"0,37",345,"0,08505","0,07456","0,01457","0,26492","0,07724"
YDL176W,,895,hybrid,"0,13",709,"0,02249","0,02176","0,00393","0,25826","0,06994"
