gene,L,x,b,B,g,w,P,Pz,Ps,T,I,E,mean_E,h,m,queue
YDL006W,282,5.49,80.68,442.59,0.4875,1.37,2.087041e-05,1.523876e-04,2.078756e-03,113782,47915,65867,233.6,2679426,3865595,0
YDL007W,438,10.91,1330.11,14514.41,1.2696,5.56,5.676964e-05,3.031165e-04,2.842686e-03,115569,17615,97954,223.6,16240394,23429936,0
YDL008W,166,4.88,11.98,58.47,0.5731,0.95,2.728440e-05,1.356089e-04,3.053856e-03,71521,36651,34870,210.1,304274,438974,0
YDL010W,232,2.46,78.10,192.43,1.6426,3.81,6.380070e-05,6.844024e-05,1.414934e-02,75404,15674,59730,257.5,848511,1224142,0
YDL012C,108,2.76,279.20,771.22,2.4275,2.62,9.870573e-05,7.672782e-05,1.952594e-02,36692,10131,26561,245.9,1960666,2828643,0
YDL013W,620,3.37,43.75,147.30,0.2225,1.38,8.695815e-06,9.351996e-05,1.411329e-03,273648,114998,158650,255.9,3487402,5031257,0
YDL014W,328,15.50,5024.18,77858.38,3.3014,10.83,2.808255e-04,4.304647e-04,9.901962e-03,42121,3561,38560,117.6,12400933,17890764,0
YDL015C,311,12.82,1266.09,16226.11,1.2793,3.98,7.507553e-05,3.559981e-04,3.200907e-03,66317,13320,52997,170.4,11689376,16864204,0
YDL017W,508,1.49,NA,NA,0.5163,2.62,2.249036e-05,4.125904e-05,8.273697e-03,161077,44463,116614,229.6,NA,NA,0
YDL018C,226,4.27,293.49,1251.92,0.7460,1.69,3.506193e-05,1.184894e-04,4.491368e-03,76607,28521,48086,212.8,5802105,8370668,0
YDL019C,1284,0.74,1290.83,952.93,1.8441,23.68,8.235437e-05,2.050641e-05,6.095640e-02,299660,12143,287517,223.9,10864452,15674090,0
YDL020C,532,3.60,170.40,613.54,0.9360,4.98,3.741229e-05,1.000155e-04,5.677659e-03,159831,26729,133102,250.2,3157093,4554723,0
YDL021W,312,1.01,30.77,31.20,0.2526,0.79,1.178480e-05,2.816347e-05,6.351238e-03,151733,84855,66878,214.4,1810059,2611364,0
YDL022W,392,1.70,946.69,1605.00,5.1853,20.33,3.709514e-04,4.709370e-05,1.195574e-01,57491,2696,54795,139.8,1768959,2552068,1
YDL025C,621,1.89,242.42,457.38,0.4305,2.67,1.975140e-05,5.240964e-05,5.720171e-03,185987,50629,135358,218.0,8507378,12273551,0
YDL027C,421,1.48,146.90,218.12,0.4634,1.95,1.906347e-05,4.124442e-05,7.015506e-03,154793,52456,102337,243.1,5341292,7705856,0
YDL028C,765,0.96,1137.67,1087.28,0.8880,6.79,3.559979e-05,2.654761e-05,2.035375e-02,218918,28090,190828,249.4,22150969,31957094,0
YDL029W,392,13.18,141.59,1866.73,0.6233,2.44,3.136345e-05,3.662107e-04,1.299915e-03,109791,31884,77907,198.7,3129316,4514649,0
YDL030W,531,3.17,NA,NA,0.3382,1.80,1.426165e-05,8.805771e-05,2.458242e-03,196051,70118,125933,237.2,NA,NA,0
YDL031W,996,2.68,962.12,2575.67,1.6165,16.10,8.164533e-05,7.436306e-05,1.666466e-02,209442,12248,197194,198.0,8168171,11784180,0
YDL033C,418,0.96,12.95,12.42,0.2741,1.15,1.165683e-05,2.664171e-05,6.641109e-03,184064,85787,98277,235.1,770312,1111325,0
YDL035C,962,1.25,883.26,1107.68,0.6334,6.09,2.858278e-05,3.483585e-05,1.245376e-02,248159,34986,213173,221.6,21419404,30901667,0
YDL036C,463,1.98,169.27,335.61,0.4679,2.17,1.954211e-05,5.507558e-05,5.385606e-03,162023,51172,110851,239.4,6003792,8661642,0
YDL040C,855,2.38,13659.60,32514.44,3.2687,27.95,1.658693e-04,6.612045e-05,3.807611e-02,174519,6029,168490,197.1,57081766,82351581,0
YDL042C,563,1.09,1115.38,1217.99,1.0885,6.13,5.144104e-05,3.033333e-05,2.574020e-02,138577,19440,119137,211.6,15029231,21682597,0
YDL043C,267,4.52,264.60,1196.03,0.9683,2.59,4.312333e-05,1.255617e-04,5.212876e-03,83143,23189,59954,224.5,4253006,6135791,0
YDL044C,441,3.02,67.55,204.03,0.3262,1.44,1.432448e-05,8.390408e-05,2.591303e-03,170233,69811,100422,227.7,3268577,4715560,0
YDL045C,307,2.14,153.20,327.54,0.4565,1.40,1.988143e-05,5.938882e-05,5.081187e-03,120795,50298,70497,229.6,5341104,7705584,0
YDL045W-A,96,3.33,36.46,121.56,1.9505,1.87,8.269848e-05,9.261244e-05,1.355347e-02,34734,12092,22642,235.9,305592,440876,0
YDL046W,174,3.90,553.46,2159.67,2.3391,4.07,1.264039e-04,1.083916e-04,1.770057e-02,40110,7911,32199,185.1,3034969,4378535,0
YDL047W,312,2.70,97.64,263.98,1.2788,3.99,5.499176e-05,7.510251e-05,1.111387e-02,90741,18185,72556,232.6,1230654,1775458,0
YDL051W,276,22.75,773.18,17592.97,1.0148,2.80,5.183821e-05,6.320528e-04,1.244856e-03,73319,19291,54028,195.8,10338528,14915344,0
YDL052C,304,1.79,2730.50,4900.90,2.9839,9.07,1.447086e-04,4.985758e-05,4.405402e-02,69595,6910,62685,206.2,13078969,18868964,0
YDL053C,186,3.25,186.44,606.84,1.9963,3.71,8.331188e-05,9.041642e-05,1.398563e-02,56572,12003,44569,239.6,1551123,2237797,0
YDL054C,487,1.14,409.25,467.77,0.7267,3.54,3.009055e-05,3.175012e-05,1.438491e-02,150853,33233,117620,241.5,9427119,13600458,0
YDL055C,362,81.55,3675.88,299781.80,1.9641,7.11,1.643372e-04,2.265382e-03,1.101074e-03,49349,6085,43264,119.5,15504262,22367921,0
YDL056W,834,1.18,570.68,673.72,0.8420,7.02,3.420969e-05,3.279306e-05,1.583396e-02,234512,29231,205281,246.1,11562968,16681836,0
YDL057W,329,1.11,296.81,330.60,0.5179,1.70,2.216810e-05,3.094043e-05,1.087488e-02,121970,45110,76860,233.6,9280561,13389020,0
YDL058W,1791,0.83,2090.26,1735.16,3.0334,54.33,1.346496e-04,2.305880e-05,8.863202e-02,410903,7427,403476,225.3,10760218,15523713,0
YDL059C,239,1.75,10.28,18.02,0.3696,0.88,1.422086e-05,4.868285e-05,4.433761e-03,132439,70319,62120,259.9,501207,723088,0
YDL060W,789,4.97,908.91,4518.40,0.6507,5.13,3.088263e-05,1.380896e-04,3.394498e-03,198614,32381,166233,210.7,20400089,29431107,0
YDL063C,621,3.02,798.22,2411.71,0.9370,5.82,3.867599e-05,8.392629e-05,6.994646e-03,176300,25856,150444,242.3,14305669,20638717,0
YDL064W,158,3.59,1036.11,3719.38,3.8744,6.12,1.903946e-04,9.971527e-05,2.898113e-02,37404,5252,32152,203.5,3772044,5441909,0
YDL065C,343,3.80,577.05,2191.24,1.2002,4.12,5.449368e-05,1.054813e-04,7.841389e-03,93894,18351,75543,220.2,7339904,10589243,0
YDL066W,429,3.49,16065.92,56007.46,4.8556,20.83,2.964217e-04,9.683620e-05,4.646164e-02,73647,3374,70273,163.8,37568276,54199565,0
YDL067C,60,10.41,44.00,457.95,3.0553,1.83,1.359611e-04,2.890906e-04,7.138433e-03,20838,7355,13483,224.7,224333,323644,0
YDL069C,230,2.37,32.91,78.02,0.3755,0.86,1.493328e-05,6.585246e-05,3.441958e-03,124805,66965,57840,251.5,1527489,2203701,0
YDL070W,639,4.61,232.25,1070.42,0.8988,5.74,4.407815e-05,1.280255e-04,5.225756e-03,152982,22687,130295,203.9,3652227,5269049,0
YDL072C,204,7.63,30.30,231.14,1.0238,2.09,4.446375e-05,2.118978e-04,3.184945e-03,69461,22490,46971,230.3,472347,681453,0
YDL073W,985,2.83,461.52,1307.44,0.2255,2.22,9.934120e-06,7.869213e-05,1.916110e-03,324268,100663,223605,227.0,32202078,46457779,0
YDL074C,701,5.31,346.91,1841.59,0.5274,3.70,2.256611e-05,1.474600e-04,2.322762e-03,208159,44314,163845,233.7,10655796,15373064,0
YDL075W,114,136.70,1504.43,205660.30,3.1954,3.64,2.982709e-04,3.797320e-03,1.192219e-03,15566,3353,12213,107.1,3496112,5043823,0
YDL076C,295,6.30,35.85,225.80,0.3225,0.95,1.296854e-05,1.749738e-04,1.124969e-03,150475,77110,73365,248.7,1915941,2764118,0
YDL077C,1050,1.12,NA,NA,0.5326,5.59,2.396030e-05,3.101012e-05,1.172765e-02,275128,41736,233392,222.3,NA,NA,0
YDL078C,344,9.86,285.87,2819.90,0.9228,3.17,4.317094e-05,2.740094e-04,2.391379e-03,96697,23164,73533,213.8,4589859,6621766,0
YDL080C,610,2.75,124.23,341.79,0.1220,0.74,4.854073e-06,7.642564e-05,9.640278e-04,359337,206013,153324,251.4,17739400,25592545,0
YDL081C,107,212.93,598.96,127534.70,1.6903,1.81,1.649188e-04,5.914588e-03,4.232216e-04,17031,6064,10967,102.5,2517426,3631878,0
YDL084W,447,36.20,2371.89,85856.30,1.4387,6.43,1.031296e-04,1.005484e-03,1.556792e-03,72055,9697,62358,139.5,15941770,22999112,0
YDL085C-A,69,6.45,210.48,1356.82,2.9081,2.01,1.473060e-04,1.790647e-04,1.248628e-02,20411,6789,13622,197.4,990408,1428857,0
YDL086W,274,3.26,137.71,449.01,1.3473,3.69,6.549364e-05,9.056910e-05,1.097593e-02,71634,15269,56365,205.7,1457482,2102702,0
YDL087C,262,0.98,28.24,27.55,0.9574,2.51,3.561496e-05,2.709898e-05,1.994811e-02,98512,28078,70434,268.8,549698,793047,0
YDL088C,529,2.43,505.65,1230.70,0.9154,4.84,4.254182e-05,6.760879e-05,9.550701e-03,137338,23506,113832,215.2,8238649,11885858,0
YDL089W,485,0.70,496.39,345.60,1.2720,6.17,5.794752e-05,1.934002e-05,4.547788e-02,123715,17257,106458,219.5,5937599,8566145,0
YDL090C,432,3.10,150.57,467.01,0.4137,1.79,1.744886e-05,8.615814e-05,3.073923e-03,159741,57310,102431,237.1,5981147,8628972,0
YDL091C,456,1.21,149.05,180.20,0.4892,2.23,2.070635e-05,3.358406e-05,9.358209e-03,156022,48294,107728,236.2,4989421,7198213,0
YDL092W,147,13.06,30.39,396.83,0.7857,1.15,3.633309e-05,3.627660e-04,1.520191e-03,59310,27523,31787,216.2,579688,836313,0
YDL093W,744,1.11,2908.64,3240.02,1.1390,8.47,5.311709e-05,3.094241e-05,2.605568e-02,178357,18826,159531,214.4,37956115,54759099,0
YDL095W,818,4.03,3346.00,13496.39,2.2190,18.15,1.138793e-04,1.120441e-04,1.542687e-02,168175,8781,159394,194.9,20366051,29382000,0
YDL097C,435,4.63,552.79,2560.86,2.7435,11.93,1.137384e-04,1.286841e-04,1.341543e-02,113719,8792,104927,241.2,3368809,4860164,0
YDL098C,195,2.78,16.71,46.48,0.6446,1.26,2.563567e-05,7.725676e-05,5.036520e-03,88041,39008,49033,251.5,451867,651907,0
YDL099W,342,3.02,2290.00,6920.50,1.9474,6.66,8.610477e-05,8.394607e-05,1.556859e-02,88962,11614,77348,226.2,18434574,26595468,0
YDL100C,355,15.88,601.60,9553.53,1.2429,4.41,7.405780e-05,4.411138e-04,2.548253e-03,73084,13503,59581,167.8,5630736,8123435,0
YDL101C,514,1.93,501.51,967.89,0.7854,4.04,3.444460e-05,5.361021e-05,9.752050e-03,146232,29032,117200,228.0,10092068,14559776,0
YDL102W,1098,0.87,662.84,576.95,1.8342,20.14,8.946824e-05,2.417846e-05,5.616459e-02,236280,11177,225103,205.0,5135273,7408633,0
YDL103C,478,3.30,805.09,2657.07,1.8109,8.66,8.872413e-05,9.167568e-05,1.468960e-02,108831,11271,97560,204.1,6289705,9074127,0
YDL104C,408,1.25,52.27,65.55,0.3221,1.31,1.353845e-05,3.483519e-05,5.898928e-03,170937,73864,97073,237.9,2676131,3860841,0
YDL105W,403,0.87,460.34,400.68,0.9255,3.73,3.856548e-05,2.417769e-05,2.421064e-02,122640,25930,96710,240.0,8273864,11936663,0
YDL106C,560,0.72,2519.26,1804.27,3.0882,17.29,1.378621e-04,1.989414e-05,1.051821e-01,132699,7254,125445,224.0,12666413,18273772,0
YDL107W,352,2.24,141.45,316.81,0.3167,1.11,1.279356e-05,6.221469e-05,3.121194e-03,165312,78164,87148,247.6,7663622,11056269,0
YDL108W,307,3.74,179.96,673.69,0.3737,1.15,1.480323e-05,1.039841e-04,2.160787e-03,145061,67553,77508,252.5,8426684,12157135,0
YDL110C,151,1.86,61.49,114.60,1.1713,1.77,4.703162e-05,5.177023e-05,1.378898e-02,58867,21262,37605,249.0,906230,1307414,0
YDL111C,266,3.30,242.04,798.45,1.2009,3.19,4.974578e-05,9.163501e-05,8.239808e-03,84317,20102,64215,241.4,3372528,4865530,0
YDL112W,1437,1.32,1294.92,1703.68,1.5559,22.36,6.880961e-05,3.654613e-05,2.857788e-02,339468,14533,324935,226.1,13044272,18818907,0
YDL113C,641,1.74,122.93,213.58,0.5606,3.59,2.456113e-05,4.826019e-05,7.724700e-03,187015,40715,146300,228.2,3469323,5005176,0
YDL115C,354,4.18,16.54,69.11,0.4186,1.48,1.722364e-05,1.160761e-04,2.252187e-03,144105,58060,86045,243.1,665561,960201,0
YDL116W,727,2.58,819.66,2118.72,0.7442,5.41,3.334638e-05,7.180155e-05,7.049157e-03,192224,29988,162236,223.2,17037777,24580316,0
YDL117W,886,1.67,619.23,1033.17,0.5676,5.03,2.512396e-05,4.634612e-05,8.228052e-03,239964,39803,200161,225.9,17084103,24647150,0
YDL119C,308,3.49,46.22,161.41,0.2693,0.83,1.073506e-05,9.699657e-05,1.679849e-03,170428,93153,77275,250.9,2984642,4305928,0
YDL120W,175,4.60,306.20,1409.06,1.6373,2.87,6.583069e-05,1.278258e-04,7.816858e-03,58714,15190,43524,248.7,3224087,4651375,0
YDL121C,150,12.34,167.15,2063.24,0.7903,1.19,3.648111e-05,3.428795e-04,1.614912e-03,59907,27411,32496,216.6,3175878,4581823,0
YDL122W,810,3.15,1113.70,3513.10,0.8073,6.54,3.819857e-05,8.762319e-05,6.616836e-03,197360,26179,171181,211.3,20209135,29155619,0
YDL124W,313,2.36,612.51,1444.42,2.3344,7.31,1.162970e-04,6.550521e-05,2.694729e-02,71426,8599,62827,200.7,3650673,5266808,0
YDL125C,159,14.08,64.42,906.76,1.7361,2.76,9.069085e-05,3.909954e-04,3.520579e-03,41464,11026,30438,191.4,492356,710319,0
YDL126C,836,10.64,2954.13,31433.68,2.9610,24.75,1.697909e-04,2.955723e-04,8.719129e-03,151682,5890,145792,174.4,12059796,17398608,0
YDL127W,309,1.20,188.07,226.22,0.9943,3.07,3.882950e-05,3.341269e-05,1.763895e-02,104882,25754,79128,256.1,3357275,4843523,0
YDL128W,412,3.60,868.83,3131.37,1.0561,4.35,5.141283e-05,1.001141e-04,7.794686e-03,104082,19450,84632,205.4,11713622,16899184,0
YDL129W,292,3.68,18.64,68.64,0.2740,0.80,9.538535e-06,1.022994e-04,1.415243e-03,188720,104838,83882,287.3,1354425,1954023,0
YDL130W,107,101.41,1105.52,112112.10,2.3501,2.51,2.256867e-04,2.816978e-03,1.216031e-03,15573,4431,11142,104.1,3395362,4898472,0
YDL130W-A,87,2.74,380.91,1044.53,1.6329,1.42,7.906300e-05,7.617161e-05,1.575442e-02,30616,12648,17968,206.5,3339479,4817849,0
YDL132W,816,2.77,2022.35,5606.37,1.0200,8.32,4.748366e-05,7.700559e-05,9.359318e-03,196346,21060,175286,214.8,29521475,42590486,0
YDL133W,438,5.15,NA,NA,0.1947,0.85,8.372298e-06,1.431942e-04,8.874452e-04,221274,119442,101832,232.5,NA,NA,0
YDL135C,203,6.60,824.29,5442.09,1.9862,4.03,1.058643e-04,1.833935e-04,8.761693e-03,47532,9446,38086,187.6,5397034,7786274,0
YDL138W,764,0.67,NA,NA,0.1747,1.33,7.317548e-06,1.871325e-05,5.935245e-03,319018,136658,182360,238.7,NA,NA,0
YDL139C,224,1.23,123.25,152.16,1.2099,2.71,5.208517e-05,3.429547e-05,2.305153e-02,71234,19199,52035,232.3,1640150,2366236,0
YDL140C,1734,0.90,33126.84,29966.76,5.9826,103.74,2.937220e-04,2.512797e-05,1.774195e-01,356592,3405,353187,203.7,78175193,112782963,2
YDL141W,691,0.73,2965.95,2152.34,2.2708,15.69,9.826613e-05,2.015784e-05,7.399156e-02,169859,10176,159683,231.1,20921163,30182858,0
YDL142C,284,3.58,24.33,87.14,0.3093,0.88,1.212342e-05,9.950313e-05,1.849314e-03,154937,82485,72452,255.1,1390912,2006662,0
YDL143W,529,11.04,793.87,8766.26,1.2329,6.52,6.426619e-05,3.067334e-04,3.180122e-03,117043,15560,101483,191.8,8562366,12352883,0
YDL144C,357,1.94,226.12,437.57,0.7157,2.56,2.730124e-05,5.375377e-05,7.708959e-03,130215,36628,93587,262.1,5740901,8282370,0
YDL145C,1202,2.61,7559.91,19694.47,3.0256,36.37,1.655387e-04,7.236446e-05,3.472134e-02,225733,6041,219692,182.8,31655017,45668535,0
YDL146W,492,0.90,144.35,130.04,0.4282,2.11,1.983081e-05,2.502321e-05,1.202873e-02,156663,50427,106236,215.9,5045540,7279175,0
YDL147W,446,15.25,424.78,6479.21,1.1078,4.94,4.941404e-05,4.236956e-04,1.770185e-03,120227,20237,99990,224.2,5958549,8596369,0
YDL148C,811,4.34,4820.26,20897.07,1.3608,11.04,7.019801e-05,1.204239e-04,8.847782e-03,171462,14245,157217,193.9,47596033,68666561,0
YDL149W,998,0.20,368.53,75.06,1.4250,14.22,6.087789e-05,5.657910e-06,1.633149e-01,250032,16426,233606,234.1,4196040,6053606,0
YDL150W,423,5.39,642.42,3460.96,0.7451,3.15,3.365601e-05,1.496496e-04,3.413575e-03,123363,29712,93651,221.4,13230659,19087806,0
YDL153C,611,7.05,693.85,4893.56,0.8310,5.08,4.191271e-05,1.959104e-04,3.247212e-03,144999,23859,121140,198.3,11474788,16554620,0
YDL154W,902,0.68,22.61,15.49,0.0566,0.51,2.358522e-06,1.902279e-05,1.881863e-03,640443,423994,216449,240.0,6646049,9588222,0
YDL155W,428,4.44,215.78,957.43,0.3892,1.67,1.739349e-05,1.232534e-04,2.141954e-03,153267,57493,95774,223.8,8598900,12405590,0
YDL156W,523,0.42,214.92,91.07,1.8479,9.66,8.061076e-05,1.177090e-05,1.039455e-01,132295,12405,119890,229.2,1848005,2666108,0
YDL157C,119,12.74,88.63,1128.92,1.7364,2.07,9.628611e-05,3.538252e-04,4.130449e-03,31846,10386,21460,180.3,638019,920467,0
YDL159W,516,1.00,434.14,435.07,1.0914,5.63,4.363593e-05,2.783755e-05,2.379225e-02,151972,22917,129055,250.1,6896228,9949155,0
YDL160C,507,2.13,NA,NA,7.3684,37.36,3.773577e-04,5.911951e-05,9.688235e-02,101649,2650,98999,195.3,NA,NA,1
YDL160C-A,81,3.75,NA,NA,1.0845,0.88,4.289929e-05,1.042315e-04,6.247028e-03,43787,23310,20477,252.8,NA,NA,0
YDL161W,455,2.82,462.11,1302.04,1.5817,7.20,6.338477e-05,7.826640e-05,1.229226e-02,129314,15777,113537,249.5,5053449,7290586,0
YDL164C,756,1.20,1154.38,1382.38,1.3847,10.47,5.929552e-05,3.326407e-05,2.705633e-02,193407,16865,176542,233.5,13494398,19468300,0
YDL165W,192,6.44,31.28,201.57,0.5489,1.05,2.241466e-05,1.790101e-04,1.900539e-03,91636,44614,47022,244.9,967245,1395440,0
YDL166C,198,6.61,50.85,336.03,0.9885,1.96,4.322910e-05,1.835767e-04,3.574217e-03,68410,23133,45277,228.7,815273,1176190,0
YDL167C,720,3.97,626.88,2490.97,0.5185,3.73,2.425178e-05,1.103776e-04,3.334917e-03,195157,41234,153923,213.8,17917031,25848811,0
YDL168W,387,3.84,1067.32,4102.09,2.3034,8.91,1.320838e-04,1.067595e-04,1.877870e-02,75061,7571,67490,174.4,5601076,8080644,0
YDL170W,529,1.33,242.14,321.25,0.4626,2.45,1.904973e-05,3.685237e-05,7.845954e-03,180943,52494,128449,242.8,8810663,12711099,0
YDL171C,2146,1.38,2251.88,3103.76,4.2415,91.02,2.534001e-04,3.828597e-05,1.004591e-01,363153,3946,359207,167.4,6159766,8886664,1
YDL173W,296,6.56,40.03,262.68,0.9538,2.82,4.518184e-05,1.822993e-04,3.761848e-03,84621,22133,62488,211.1,614056,885895,0
YDL174C,588,1.48,201.77,298.81,0.7800,4.59,3.764846e-05,4.113680e-05,1.389118e-02,148386,26562,121824,207.2,3714842,5359384,0
YDL175C,345,2.24,279.54,625.96,0.6723,2.32,2.719189e-05,6.220084e-05,6.635375e-03,122080,36776,85304,247.3,7125834,10280406,0
YDL176W,709,1.18,139.37,163.94,0.3653,2.59,1.513614e-05,3.267522e-05,7.031031e-03,237174,66067,171107,241.3,6382310,9207728,0
YDL177C,171,6.22,1.48,9.18,0.1315,0.22,5.230088e-06,1.726957e-04,4.596739e-04,234208,191201,43007,251.5,195709,282348,0
YDL178W,531,8.64,124.47,1074.91,0.4182,2.22,2.118443e-05,2.398813e-04,1.340426e-03,152035,47204,104831,197.4,4072692,5875653,0
YDL179W,305,3.78,62.11,234.57,0.7197,2.20,2.862379e-05,1.049106e-04,4.141237e-03,111625,34936,76689,251.4,1503997,2169808,0
YDL180W,548,3.26,169.99,554.91,0.1815,0.99,7.119758e-06,9.067913e-05,1.191736e-03,280127,140454,139673,254.9,16549140,23875363,0
YDL181W,86,2.16,51.82,112.14,2.8712,2.47,1.099737e-04,6.011628e-05,2.776637e-02,31546,9093,22453,261.1,326589,471169,0
YDL183C,321,1.53,50.36,76.92,0.3259,1.05,1.334449e-05,4.243191e-05,4.773444e-03,153339,74937,78402,244.2,2615728,3773698,0
YDL185W,1072,9.00,2842.46,25593.21,4.5321,48.58,2.679909e-04,2.501079e-04,1.626354e-02,185023,3731,181292,169.1,7351909,10606563,1
YDL189W,458,1.54,NA,NA,1.4694,6.73,6.187648e-05,4.287698e-05,2.190402e-02,124925,16161,108764,237.5,NA,NA,0
YDL190C,962,1.70,2557.18,4357.78,1.1455,11.02,5.635749e-05,4.733707e-05,1.807060e-02,213271,17744,195527,203.3,31451069,45374301,0
YDL192W,182,85.49,175.72,15021.79,0.9409,1.71,6.743239e-05,2.374585e-03,4.310257e-04,40224,14830,25394,139.5,1806293,2605930,0
YDL193W,376,2.10,435.69,916.71,1.6035,6.03,8.082716e-05,5.844536e-05,2.099083e-02,86965,12372,74593,198.4,3736357,5390424,0
YDL197C,526,0.88,86.69,76.53,0.2366,1.24,9.401610e-06,2.452241e-05,5.819175e-03,238747,106365,132382,251.7,6391444,9220904,0
YDL198C,301,2.09,1862.57,3898.27,2.5289,7.61,1.362177e-04,5.813757e-05,3.556305e-02,63223,7341,55882,185.7,9477730,13673474,0
YDL200C,189,3.54,NA,NA,0.5378,1.02,2.443917e-05,9.827178e-05,3.774678e-03,82508,40918,41590,220.1,NA,NA,0
YDL201W,287,1.95,6413.67,12486.53,3.6826,10.57,1.776313e-04,5.407947e-05,4.985507e-02,65130,5630,59500,207.3,25027235,36106667,0
YDL202W,250,2.45,17.69,43.25,1.2011,3.00,4.821514e-05,6.791690e-05,1.077526e-02,83017,20740,62277,249.1,254276,366842,0
YDL203C,624,0.85,1257.35,1074.11,1.2742,7.95,5.535707e-05,2.372954e-05,3.540838e-02,161696,18065,143631,230.2,15743754,22713436,0
YDL205C,328,5.90,320.26,1889.43,0.4981,1.63,2.438709e-05,1.638802e-04,2.258686e-03,108000,41005,66995,204.3,9102649,13132346,0
YDL206W,763,0.71,247.64,174.76,0.1670,1.27,6.620264e-06,1.960252e-05,5.126084e-03,343474,151051,192423,252.2,25927862,37405998,0
YDL207W,539,2.23,160.86,358.28,0.7072,3.81,2.713409e-05,6.186888e-05,6.656798e-03,177340,36854,140486,260.6,4109226,5928360,0
YDL208W,157,37.01,296.08,10958.68,1.2359,1.94,8.782023e-05,1.028116e-03,1.296507e-03,33482,11387,22095,140.7,2336924,3371469,0
YDL209C,340,3.63,156.92,569.49,0.4371,1.49,1.878530e-05,1.008097e-04,2.828382e-03,132351,53233,79118,232.7,5790146,8353416,0
YDL212W,211,23.80,119.84,2852.23,0.4485,0.95,2.303459e-05,6.611262e-04,5.288330e-04,84498,43413,41085,194.7,3606136,5202555,0
YDL213C,226,7.41,1071.89,7945.27,1.4072,3.18,7.168968e-05,2.058997e-04,5.284736e-03,58310,13949,44361,196.3,10363810,14951817,0
YDL215C,1093,3.95,31.20,123.28,0.2289,2.50,1.145242e-05,1.097702e-04,1.583562e-03,305820,87318,218502,199.9,1888211,2724113,0
YDL216C,441,1.04,150.81,156.96,0.5006,2.21,2.172291e-05,2.890951e-05,1.140511e-02,147652,46034,101618,230.4,4812214,6942558,0
YDL217C,208,3.25,32.96,107.26,1.2988,2.70,5.555610e-05,9.037871e-05,9.330135e-03,66628,18000,48628,233.8,411285,593359,0
YDL219W,151,9.07,214.09,1941.84,1.1742,1.77,5.905239e-05,2.519541e-04,3.557446e-03,46958,16934,30024,198.8,2512907,3625358,0
YDL220C,925,0.23,1412.56,322.50,1.2297,11.38,4.730678e-05,6.341955e-06,1.132198e-01,261591,21139,240452,259.9,20697112,29859622,0
YDL224C,650,0.90,3983.19,3590.17,2.4892,16.18,1.039432e-04,2.503695e-05,6.301400e-02,165281,9621,155660,239.5,26561974,38320828,0
YDL225W,552,3.94,650.16,2560.79,1.1026,6.09,5.204350e-05,1.094082e-04,7.220029e-03,136164,19215,116949,211.9,8659255,12492665,0
YDL226C,353,4.47,1219.74,5457.43,2.6720,9.43,1.200275e-04,1.242851e-04,1.465832e-02,86914,8331,78583,222.6,7043869,10162155,0
YDL227C,587,3.28,NA,NA,1.2938,7.59,5.181002e-05,9.115443e-05,8.626971e-03,165883,19301,146582,249.7,NA,NA,0
YDL230W,336,2.10,97.14,204.29,0.4453,1.50,1.651935e-05,5.841447e-05,4.292347e-03,151108,60535,90573,269.6,4076176,5880679,0
YDL231C,1126,1.41,16.15,22.75,0.0661,0.74,2.906522e-06,3.914403e-05,1.127017e-03,600120,344054,256066,227.4,3850431,5554997,0
YDL232W,37,8.98,199.97,1795.14,2.9771,1.10,2.001697e-04,2.493669e-04,1.218378e-02,10499,4996,5503,148.7,692443,998984,0
YDL233W,459,0.64,202.69,130.46,1.1495,5.28,5.026807e-05,1.787971e-05,4.267309e-02,124854,19893,104961,228.7,2794865,4032138,0
YDL234C,747,1.47,191.32,281.88,0.5854,4.37,2.557868e-05,4.092740e-05,9.486068e-03,210045,39095,170950,228.8,5184377,7479474,0
YDL235C,168,8.65,245.85,2125.52,0.9593,1.61,5.006163e-05,2.401573e-04,3.163964e-03,52169,19975,32194,191.6,3403977,4910901,0
YDL236W,313,9.84,159.30,1567.00,0.8500,2.66,4.080450e-05,2.732503e-04,2.266573e-03,89705,24507,65198,208.3,2705979,3903903,0
YDL237W,391,2.60,516.41,1344.49,1.2805,5.01,5.874185e-05,7.231972e-05,1.232858e-02,102257,17024,85233,218.0,6093620,8791235,0
YDL239C,791,0.44,NA,NA,0.0711,0.56,2.903001e-06,1.232809e-05,3.574158e-03,538291,344471,193820,245.0,NA,NA,0
YDL240W,1018,0.59,NA,NA,1.1483,11.69,4.940993e-05,1.649645e-05,4.546174e-02,256821,20239,236582,232.4,NA,NA,0
YDR001C,752,1.28,791.32,1010.98,1.2268,9.23,5.609214e-05,3.548824e-05,2.399053e-02,182302,17828,164474,218.7,9778614,14107558,0
YDR002W,202,64.55,256.76,16573.68,1.2835,2.59,9.546230e-05,1.793017e-03,8.081087e-04,37635,10475,27160,134.5,1864342,2689677,0
YDR003W,211,3.93,10.33,40.60,0.4034,0.85,1.721811e-05,1.092054e-04,2.393115e-03,107511,58078,49433,234.3,415758,599811,0
YDR004W,461,4.73,18.03,85.21,0.1329,0.61,5.044539e-06,1.312918e-04,5.831848e-04,319724,198234,121490,263.5,2477221,3573874,0
